codigo_do_material,codigo_de_venda,descrição_do_material,peso_liquido,peso_bruto,comprimento,largura,altura,volume_x
50001073,1342,REVELAR DE NATURA-DESOD COLONIA,86.28,299.092,63,51,186,597.6
50024236,5792,M&B-MOCHILA TROCADOR X,1,148,270,530,30,4293
50026386,14509,HORUS-DESOD COLONIA 100 ML X,84.3,308.245,78.5,37.5,144,424
50030504,8155,KAIAK-RF MASC DESOD SPRAY CODBARRA,91.3,108.346,61,23,117,164.15
50030527,8169,BIOGRAFIA-RF MASC DESOD SPRAY CODBARRA,90.8,108.904,61,23,117,164.15
50030529,8172,BIOGRAFIA-RF FEM DESOD SPRAY CODBARRA,92,109.948,61,23,117,164.15
50030539,8182,KAIAK-MASC DESOD SPRAY (MON),91.3,133.323,66.5,37.5,135,336.66
50035605,4852,KAIAK AVENT RF MASC DESOD SPRAY CODBARRA,91.3,109.275,61,23,117,164.15
50035606,10047,KAIAK-RF FEM DESOD SPRAY CODBARRA,88.5,109.393,61,23,117,164.15
50036493,10397,AMOR AMER-DES COL PALO SANT 100 ML LATAM,85,250.504,68.5,68.5,99,464.533
50036510,10403,M&B TROCADOR LENCOS UMEDECIDOS 50 UN,220.82,236.421,210,100,30,630
50038984,11056,BIOGRAFIA MASC DESOD COLONIA VOLUME 2,85,288.503,89.6,47.6,119,507.53
50039491,11229,TODODIA CREME MANTEIGA KARITE 120G,120,158.4,81,36,81,236.2
50049285,11614,BIOGRAFIA-MASC DESOD COL 100ML,88,283.844,89.6,47.6,119,507.53
50050142,11831,NATURE BEM BOM COLONIA MENINAS 100ML,100,134.356,59,59,94,327.214
50050143,11832,NATURE BEM BOM COLONIA MENINOS 100ML,100,134.21,59,59,94,327.214
50050478,9959,M&B-BELUGA SABONETE  C/ SABONETEIRA,100,148.155,66,45,95,282.15
50051018,8173,BIOGRAFIA-FEM DESOD SPRAY (CING),92,134.722,65,38,135,333.45
50051030,2001,SINTONIA MASC RF DESOD SPRAY CODBARRA.,88.3,109.232,61,23,117,164.15
50051310,8170,BIOGRAFIA-MASC DESOD SPRAY,91.3,133.399,66.5,37.5,135,336.66
50051632,10252,M&B-AGUA COL BELUGA III FL DE LARANJEIRA,104,149.852,65,55,105,375.375
50051683,6431,M&B-BELUGA III OLEO HIGIENE E MASSAGEM,91,139.277,65,55,105,375.375
50052376,12479,EKOS-FLUIDO DE MASSAGE MUSANDIR NF LATAM,100,124.76,48,36,165,285.12
50053272,331,APONTADOR DUPLO MAQUIAGEM TERC,12.53,14,40,35,31,43.4
50053561,12968,FIXPLANT- POS-ESCOVA ANTI-FRIZZ,47.8,80.811,44,44,105,203.28
50054985,13525,FACES-DES COLONIA  SUPERSTILO 65 ML,55.25,220,36,36,182,235.872
50055192,6850,FACES-ILIMITADA DESOD COLONIA 65ML,55.9,223.566,36,36,182,235.872
50055193,3366,FACES-DESOD COLONIA Y 65ML,55.9,220.268,36,36,182,235.872
50055194,3365,FACES-DESOD COLONIA Z 65ML,55.9,223.296,36,36,182,235.872
50057561,14349,FOTOEQ-EMULSAO FSP15 PROT HIDRATANTE,127.1,174.672,70,37,142,367.8
50059743,15442,AGUAS NATURA-DES COL F LARANJEIRA 150ML,127.5,292.318,59.6,59.6,160.25,569.234
50059825,15333,AGUAS NATURA-DES COL BANH LAVANDA150ML,127.5,286.756,59.6,59.6,160.25,569.234
50059847,15444,AGUAS NATURA-VALVULA 150ML (TERC),8.25,8.25,20,20,168,67.2
50059848,15434,AGUAS NATURA-VALVULA 300ML (TERC),9.33,9.33,20,20,208,83.2
50060621,12188,FACES - SOMBRA TRIO MOSAICO FLORES 3,6.1,21.511,53,20,53,56.18
50060628,12193,FACES - SOMBRA DUO MOSAICO CEU 3,6.1,21.192,53,20,53,56.18
50062362,16304,TODODIA-SAB BARRA CANELA,450,485.589,73,73,152,810
50062375,16309,TODODIA-SAB LIQ FRUTAS VERMELHAS  (TERC),318.2,334.76,61.75,61.75,144,549.08
50062768,16127,CHRONOS-SERUM REDUTOR DE CELULITE,159.207,159.207,42,42,155,273.42
50062935,16388,MMBB OLEO VEGETAL BANHO 200ML,50.7,235.056,75,65,120,585
50062936,16387,M&B EMULSAO ESTRIAS,44.15,245.254,77,50,128,492.8
50063741,17087,DIVERSA-RF BATOM MISSOURI HD PR FPS 15,3.5,13.079,23,23,63,33.33
50064720,18748,BIOGRAFIA FEM DES COLONIA VOLUME 2,90,287.631,89.6,47.6,119,507.53
50064987,7965,TODODIA-DESOD ROLLON SEM PERFUME 70 ML,70,118.919,50,52,108,280.8
50064989,6740,TODODIA-DESOD ROLLON CHA VERDE 70 ML,70,118.608,50,52,108,280.8
