CV,CM,Demanda,Soma de Total Unidades
95840.0,50369418.0,271520.379644433,46.0
96703.0,50315466.0,232947.0810810811,3072.0
148288.0,50463576.0,151049.18096021,6630.0
135733.0,50437335.0,149785.8026496624,1767.0
135761.0,50437365.0,137840.0150648299,1860.0
99137.0,50396102.0,129192.415214972,34.0
135735.0,50437338.0,112040.1083584805,1546.0
95839.0,50367554.0,106564.5309678793,12564.0
126265.0,50413175.0,90029.1081081081,116.0
108917.0,50361166.0,87363.7,1318.0
135740.0,50437342.0,86189.76753107844,1169.0
161081.0,50494601.0,80677.17605532326,2.0
146991.0,50460417.0,80055.13741887092,
96704.0,50315467.0,79796.48648648648,176.0
96701.0,50315465.0,78061.97297297297,7308.0
95841.0,50303570.0,77478.35135135135,37.0
140445.0,50451457.0,72434.43243243243,34.0
100525.0,50399688.0,72428.75675675676,1.0
131556.0,50424992.0,71585.35135135135,50.0
131472.0,50424999.0,71523.35135135135,50.0
135117.0,50436771.0,71263.63314511099,483.0
123127.0,50404314.0,69280.24324324324,14.0
146993.0,50460419.0,68232.55891507458,3.0
131332.0,50424242.0,62546.94594594595,219.0
2829.0,50374194.0,60784.46226084705,7392.0
160307.0,50492340.0,60182.0787704004,
108401.0,50359435.0,59916.40903408167,5075.0
2814.0,50398676.0,58538.5945945946,17115.0
148289.0,50463577.0,57552.91997328232,1501.0
146992.0,50460418.0,57536.91540615317,8.0
148291.0,50463579.0,56470.79521063564,1380.0
135737.0,50437340.0,56396.01006732348,850.0
148293.0,50463581.0,55716.04898613459,2405.0
136058.0,50437656.0,54026.64121853336,215.0
44452.0,50390019.0,53223.62162162162,125.0
160306.0,50492339.0,53157.98547080727,9.0
135750.0,50437353.0,52836.13658417013,702.0
135726.0,50437328.0,52420.86168888655,3240.0
120961.0,50436703.0,52168.75699232632,
116854.0,50385823.0,50179.59459459459,30.0
126267.0,50413176.0,49703.32432432433,150.0
135751.0,50437354.0,49695.41451649736,809.0
100605.0,50396101.0,49495.7027027027,16.0
135239.0,50436883.0,47916.91764157765,192.0
150661.0,50472477.0,47497.65906242348,3036.0
135258.0,50436897.0,46934.83814525298,1523.0
135734.0,50437337.0,46924.9020806965,668.0
135685.0,50437296.0,45952.02277331747,260.0
148292.0,50463580.0,45921.49899671835,2373.0
136015.0,50437611.0,45805.47579532918,41.0
152726.0,50477250.0,45454.76795708615,208.0
135837.0,50437438.0,45114.81374788951,789.0
152977.0,50477333.0,44774.82121099841,2273.0
148290.0,50463578.0,42845.88265645644,1969.0
136046.0,50437645.0,42815.87813786668,644.0
135573.0,50437190.0,42570.68565737984,523.0
135731.0,50437333.0,42229.82776694158,658.0
135738.0,50436685.0,41607.70788116202,626.0
135739.0,50437341.0,41511.26877668056,569.0
163902.0,50500767.0,40884.0,6435.0
86723.0,50399289.0,40664.40540540541,88.0
135113.0,50436767.0,40506.66340505095,619.0
135137.0,50436791.0,40004.62776370584,894.0
109169.0,50362041.0,39982.21621621621,18.0
139961.0,50449503.0,39938.21621621621,18.0
95638.0,50375443.0,39405.43243243243,172.0
135950.0,50437548.0,39248.03937931412,652.0
140403.0,50451393.0,38320.2972972973,27.0
135780.0,50437383.0,38305.44879680683,1883.0
159165.0,50490658.0,37879.0,5943.0
159164.0,50490657.0,37866.0,5943.0
148294.0,50463582.0,37648.30258353625,1920.0
135957.0,50437555.0,37616.48249543285,1786.0
135732.0,50437334.0,37485.57230401281,784.0
117749.0,50388373.0,37097.94594594595,4310.0
135728.0,50437330.0,36856.34088708044,2248.0
146982.0,50460408.0,36771.68160831476,425.0
135691.0,50437302.0,36456.57218850467,443.0
135216.0,50436862.0,34956.62471628452,1097.0
135727.0,50437329.0,34754.50794564941,1226.0
136031.0,50437627.0,34401.4684121961,1186.0
68943.0,50278063.0,34397.45945945946,97.0
135725.0,50436684.0,34149.60775514915,1647.0
135102.0,50436758.0,33785.06799637649,5.0
140407.0,50451397.0,33779.81081081081,34.0
76423.0,50374061.0,33660.97297297297,64.0
135729.0,50437331.0,33289.01853620029,586.0
2832.0,50372609.0,33186.6095219278,4030.0
135736.0,50437339.0,32968.8726054787,627.0
136063.0,50437661.0,32798.17130195247,746.0
92786.0,50394887.0,32346.21621621622,6025.0
108403.0,50359437.0,32262.89689719602,4062.0
135275.0,50436910.0,32252.28288168739,288.0
135107.0,50436761.0,32036.9157244666,444.0
140417.0,50451407.0,31940.62162162162,16.0
18259.0,50400480.0,31940.62162162162,16.0
136064.0,50437662.0,31360.19550611618,396.0
140452.0,50451465.0,31296.02702702703,20.0
108407.0,50359441.0,31235.37837837838,120.0
53255.0,50368962.0,30914.11731185163,71.0
139996.0,50449504.0,30727.83783783784,37.0
140005.0,50449502.0,30727.83783783784,37.0
160305.0,50492338.0,30598.40339436066,
150633.0,50472476.0,30467.07245307557,1566.0
135958.0,50437556.0,30081.37280898371,1453.0
129237.0,50419957.0,29803.94594594595,4.0
135945.0,50437544.0,29788.61692176554,469.0
136029.0,50437625.0,29454.08059304186,387.0
107648.0,50357692.0,29005.72972972973,2582.0
76420.0,50314403.0,28819.7027027027,6134.0
121959.0,50401202.0,27898.27027027027,1.0
159166.0,50490659.0,27805.0,1232.0
136055.0,50437653.0,27355.65731513954,2231.0
159167.0,50490660.0,27315.0,1228.0
135581.0,50437197.0,27176.29751967504,176.0
148390.0,50463462.0,27148.29299859316,373.0
135574.0,50437191.0,26971.69015403935,300.0
135575.0,50437192.0,26405.97290566935,272.0
148295.0,50463583.0,26291.43704197812,1978.0
121969.0,50401220.0,26254.45945945946,1605.0
146888.0,50459214.0,26242.45945945946,17.0
135951.0,50437549.0,25826.62357682202,197.0
136024.0,50437620.0,24942.97580136031,1624.0
135785.0,50437388.0,24744.87724357533,1589.0
125298.0,50410390.0,24687.0,17.0
135387.0,50437021.0,24679.2743171277,32.0
162723.0,50498361.0,24343.0,5941.0
152979.0,50477336.0,24144.97791731722,1490.0
135576.0,50437193.0,24085.39612729052,443.0
135274.0,50436909.0,23984.11346246402,686.0
135875.0,50437473.0,23786.1502753711,6991.0
160304.0,50492337.0,23715.83568004615,
140405.0,50451395.0,23584.21621621622,26.0
135783.0,50437386.0,23075.10897316671,237.0
135211.0,50436857.0,23008.09135543471,1938.0
135213.0,50436859.0,22987.20929618583,144.0
72147.0,50375500.0,22858.2972972973,7478.0
135778.0,50437381.0,22746.16153669066,1044.0
159158.0,50490651.0,22738.0,5524.0
159159.0,50490652.0,22731.0,5524.0
163908.0,50500793.0,22476.0,1222.0
58415.0,50374045.0,22139.7027027027,26.0
129194.0,50418052.0,22139.7027027027,26.0
51874.0,50374074.0,22079.7027027027,112.0
89259.0,50420569.0,21788.89189189189,5163.0
135164.0,50436818.0,21677.32399154245,366.0
135766.0,50437370.0,21647.5103907577,
108404.0,50359438.0,21254.75064239041,36.0
152074.0,50476380.0,21232.42917835703,401.0
133589.0,50435496.0,21212.27027027027,19.0
135787.0,50437390.0,21187.42219803793,937.0
51876.0,50374067.0,20753.16216216216,72.0
135104.0,50436760.0,20486.17222491431,316.0
135163.0,50436817.0,20417.93825596137,411.0
135582.0,50437198.0,20399.17313078065,172.0
155739.0,50484158.0,20342.0,
136099.0,50439830.0,20102.64551207577,
135563.0,50436660.0,20058.78308154312,234.0
136027.0,50437623.0,20012.3961604098,165.0
14690.0,50322168.0,19959.38,1066.0
99305.0,50335174.0,19959.35135135135,349.0
136059.0,50437657.0,19958.4934096842,844.0
87512.0,50296248.0,19867.75675675676,6561.0
135986.0,50437582.0,19861.67455049273,122.0
135789.0,50437392.0,19770.05263086369,136.0
148372.0,50463461.0,19487.43198827929,
135145.0,50436799.0,19109.88347161813,191.0
70825.0,50343132.0,19071.45945945946,3198.0
131972.0,50426112.0,18974.14295610962,3486.0
135583.0,50437199.0,18967.32058470267,190.0
152166.0,50476609.0,18965.62934899883,150.0
72711.0,50399685.0,18856.21621621622,277.0
7733.0,50319757.0,18817.1094142706,1497.0
135273.0,50436908.0,18638.67518587949,615.0
161080.0,50494600.0,18404.38957802234,
136048.0,50437647.0,18321.23017260527,323.0
136023.0,50437619.0,18201.02897246701,462.0
159160.0,50490653.0,17934.0,5960.0
129972.0,50422445.0,17843.81081081081,29.0
131978.0,50426174.0,17743.86486486487,11.0
140746.0,50453265.0,17704.2972972973,6097.0
131735.0,50425378.0,17625.0,
135779.0,50437382.0,17612.97494504476,538.0
159161.0,50490654.0,17594.0,5884.0
135166.0,50436820.0,17547.61909787484,896.0
131976.0,50426176.0,17455.64864864865,50.0
76430.0,50291302.0,17380.59459459459,2215.0
136025.0,50437621.0,17292.55830240819,107.0
131334.0,50424241.0,17217.0,
56948.0,50420448.0,17176.37837837838,195.0
88453.0,50420237.0,17155.05405405405,1281.0
135214.0,50436860.0,17117.94526115969,1932.0
136002.0,50437598.0,16872.65682164451,119.0
116349.0,50383970.0,16829.72,
114464.0,50379762.0,16798.05405405405,1423.0
135138.0,50436792.0,16781.46784584135,193.0
135773.0,50437376.0,16657.93261961483,1501.0
99338.0,50335172.0,16619.02702702703,48.0
107647.0,50357691.0,16552.18918918919,2168.0
109156.0,50398685.0,16466.59459459459,30.0
2834.0,50267839.0,16387.62162162162,36.0
135249.0,50436893.0,16368.08398295313,121.0
56747.0,50420446.0,16205.56756756757,43.0
96700.0,50315464.0,16119.02702702703,204.0
135952.0,50437550.0,16098.13170123787,37.0
148387.0,50477524.0,16007.58672376119,71.0
135120.0,50436774.0,15875.43591443849,147.0
135489.0,50437121.0,15874.02043423815,299.0
140459.0,50451472.0,15820.10810810811,23.0
136102.0,50439832.0,15674.43023086163,1016.0
134719.0,50440658.0,15648.72972972973,14.0
134584.0,50440452.0,15648.72972972973,14.0
109163.0,50361927.0,15600.10810810811,517.0
166431.0,50504846.0,15475.0,
135580.0,50437196.0,15309.70392958863,191.0
135790.0,50437393.0,15195.78956442419,70.0
148124.0,50462252.0,15167.52135653299,239.0
135389.0,50437023.0,14925.82067074227,21.0
129962.0,50422441.0,14912.05405405405,2.0
114584.0,50379331.0,14854.64864864865,24.0
71600.0,50374053.0,14669.05405405405,80.0
166317.0,50420233.0,14558.24,214.0
136026.0,50437622.0,14546.19930268859,343.0
135386.0,50437020.0,14453.51701251255,32.0
135141.0,50436795.0,14451.73918507428,532.0
135388.0,50437022.0,14442.64458053226,23.0
135960.0,50437558.0,14427.28269020207,158.0
148363.0,50463459.0,14407.89373267619,347.0
136049.0,50437648.0,14349.4271108155,176.0
123008.0,50403969.0,14328.37837837838,24.0
159163.0,50490656.0,14310.64864864865,
162729.0,50498367.0,14300.0,5395.0
134574.0,50408633.0,14290.10810810811,123.0
135153.0,50436807.0,14265.99797978195,15.0
135584.0,50437200.0,14259.80659267972,145.0
159162.0,50490655.0,14229.05405405405,
135086.0,50436742.0,14162.35127215577,51.0
159170.0,50490663.0,14145.0,
135181.0,50436834.0,14098.96075657381,120.0
135784.0,50437387.0,13944.27652088157,366.0
140422.0,50451412.0,13900.78378378378,4.0
